Plnt,ABC,CC Ind,MRP,Material,UM,SLoc,Bin,Unres Qty On Hand,  Last Count,Std Cst,Material description,MS,MS2
US53,C,D,TY1,351118-0010,EA,1000,K7-D2,8.000,05/24/2023,86.00,"BEARING,PIVOT,FLEX,0.5 DIA,1ENDED",RG,
US53,C,X,TY1,351130-0010,EA,1000,,0.000,,"1,121.89","SENSOR,EXTENSOMETER,EPSILON MODEL 3542",RG,
US53,C,X,TY1,351130-0020,EA,1000,C5-C,0.000,,"2,065.00","SENSOR,EXTENSOMETER,10mm GA,+/-10%",RG,
US53,C,X,TY1,351130-0030,EA,1000,I1-A,0.000,,"1,867.00","SENSOR,EXTENSOMETER,10mm GA,+20%/-10%",RG,
US53,C,X,TY1,351130-0040,EA,1000,,0.000,,"1,867.00","SENSOR,EXTENSOMETER,10mm GA,+25%/-10%",RG,
US53,C,X,TY1,351130-0090,EA,1000,B5-C,0.000,,"1,867.00","SENSOR,EXTENSOMETER,12.5mm GA,+25%/-10%",RG,
US53,B,X,TY1,351130-0100,EA,1000,B5-B,0.000,,"2,075.00","SENSOR,EXTENSOMETER,12.5mm GA,+50%/-10%",RG,
US53,B,C,TY1,351130-0110,EA,1000,I1-A,0.000,08/21/2020,"2,196.00","SENSOR,EXTENSOMETER,12.5mm GA,+100%/-10%",RG,
US53,C,X,TY1,351130-0120,EA,1000,C3-E,0.000,,"1,867.00","SENSOR,EXTENSOMETER,25mm GA,+/-5%",RG,
US53,C,B,TY1,351130-0150,EA,1000,K13-S1,0.000,05/11/2021,"2,285.00","SENSOR,EXTENSOMETER,25mm GA,+25%/-10%",RG,
US53,C,X,TY1,351130-0160,EA,1000,C3-E,0.000,,"1,867.00","SENSOR,EXTENSOMETER,25mm GA,+50%/-10%",RG,
US53,C,X,TY1,351130-0170,EA,1000,C1-D,0.000,,"1,867.00","SENSOR,EXTENSOMETER,25mm GA,+100%/-10%",RG,
US53,C,C,TY1,351130-0220,EA,1000,I1-A,0.000,,"2,265.00","SENSOR,EXTENSOMETER,50mm GA,+50%/-10%",RG,
US53,C,X,TY6,351131-0010,EA,1000,,0.000,10/23/2019,"1,121.89","KIT,SENSOR,EXTENSOMETER,GENERAL PURPOSE",RG,
US53,C,X,TY6,351131-0020,EA,1000,,0.000,,"2,065.00","KIT,SENSOR,EXTENSOM,10.0mm GA,+/-10%",OB,OB
US53,C,X,TY6,351131-0090,EA,1000,,0.000,,"1,867.00","KIT,SENSOR,EXTENSOM,12.5mm GA,+25%/-10%",RG,
US53,C,X,TY6,351131-0100,EA,1000,,0.000,,"2,075.00","KIT,SENSOR,EXTENSOM,12.5mm GA,+50%/-10%",RG,
US53,C,C,TY6,351131-0110,EA,1000,,0.000,10/23/2019,"2,196.00","KIT,SENSOR,EXTENSOM,12.5mm GA,+100%/-5%",RG,
US53,C,B,TY6,351131-0150,EA,1000,,0.000,,"2,285.00","KIT,SENSOR,EXTENSOM,25mm GA,+25%/-10%",RG,
US53,C,X,TY6,351131-0220,EA,1000,,0.000,,"2,265.00","KIT,SENSOR,EXTENSOM,50mm GA,+50%/-10%",RG,
US53,C,D,TY1,351138-0010,EA,1000,K12-Q3,3.000,05/26/2023,312.60,"BLOCK,SPECIMEN MOUNT,0.0 TO 45.0 DEGREE",RG,
